City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Faya,SA,2022-04-11 00:28:31,18.3851,42.4509,60.91,41,0,2.66,clear sky
149,Nuristan,AF,2022-04-11 00:28:31,35.3,70.8333,38.1,50,99,8.03,overcast clouds
150,Bauchi,NG,2022-04-11 00:28:31,10.5,10.0,80.37,42,63,5.64,broken clouds
151,Ouesso,CG,2022-04-11 00:28:32,1.6136,16.0517,71.8,92,99,1.03,overcast clouds
152,Penzance,GB,2022-04-11 00:28:32,50.1186,-5.5371,50.68,78,100,28.52,overcast clouds
153,Agirish,RU,2022-04-11 00:28:33,61.9247,63.0231,33.53,96,93,8.3,overcast clouds
154,Shache,CN,2022-04-11 00:28:33,38.4167,77.2406,63.97,21,16,8.37,few clouds
155,Mwingi,KE,2022-04-11 00:28:33,-0.9344,38.0601,65.25,92,70,4.5,broken clouds
156,Paamiut,GL,2022-04-11 00:28:34,61.994,-49.6678,28.09,79,100,8.57,overcast clouds
157,Goundam,ML,2022-04-11 00:28:34,16.4145,-3.6708,84.61,8,0,10.36,clear sky
158,Necochea,AR,2022-04-11 00:28:34,-38.5473,-58.7368,63.93,94,100,9.26,overcast clouds
159,Ajaccio,FR,2022-04-11 00:28:05,42.0,8.9167,41.05,81,0,8.05,clear sky
160,Bridlington,GB,2022-04-11 00:28:35,54.0831,-0.1919,46.89,88,100,11.01,overcast clouds
161,Usinsk,RU,2022-04-11 00:24:15,65.9939,57.5281,36.37,100,100,17.22,overcast clouds
162,San Pedro De Macoris,DO,2022-04-11 00:28:35,18.4616,-69.2972,79.41,77,52,7.29,broken clouds
163,Bathsheba,BB,2022-04-11 00:28:35,13.2167,-59.5167,79.41,73,40,19.57,scattered clouds
164,Avila,ES,2022-04-11 00:28:36,40.5833,-5.0,51.66,75,91,12.93,overcast clouds
165,Vetel,RO,2022-04-11 00:28:36,45.9,22.8167,36.09,93,100,2.46,overcast clouds
166,Matay,EG,2022-04-11 00:28:36,28.419,30.7792,68.49,42,75,11.52,broken clouds
167,Puerto Narino,CO,2022-04-11 00:25:54,-3.7703,-70.3831,73.35,99,98,1.23,overcast clouds
168,Ancud,CL,2022-04-11 00:28:05,-41.8697,-73.8203,48.22,79,43,4.43,scattered clouds
169,Kankon,IN,2022-04-11 00:28:37,15.0167,74.0167,78.6,81,48,5.32,scattered clouds
170,Tasiilaq,GL,2022-04-11 00:28:37,65.6145,-37.6368,15.96,89,80,3.76,broken clouds
171,Omboue,GA,2022-04-11 00:28:37,-1.5746,9.2618,77.32,92,21,4.85,few clouds
172,Wajir,KE,2022-04-11 00:28:38,1.7471,40.0573,79.88,68,36,14.54,scattered clouds
173,Karla,EE,2022-04-11 00:28:38,59.3723,24.9275,33.76,93,0,11.5,clear sky
174,Kibala,TD,2022-04-11 00:28:38,9.1104,18.3463,80.55,69,0,0.0,clear sky
175,Ust-Shonosha,RU,2022-04-11 00:28:39,61.1531,41.343,32.13,94,98,5.44,overcast clouds
176,Brae,GB,2022-04-11 00:25:53,60.3964,-1.353,36.01,64,100,2.68,overcast clouds
177,Stromness,GB,2022-04-11 00:28:39,58.965,-3.296,39.87,80,100,11.99,overcast clouds
178,Turayf,SA,2022-04-11 00:28:40,31.6725,38.6637,62.85,27,0,5.75,clear sky
179,Hensall,CA,2022-04-11 00:28:40,43.4334,-81.4998,40.66,63,28,3.91,scattered clouds
180,Paslek,PL,2022-04-11 00:28:40,54.0616,19.6593,33.57,84,22,8.57,few clouds
181,Sencha,UA,2022-04-11 00:28:40,50.2548,33.346,43.11,95,100,13.69,overcast clouds
182,Nouadhibou,MR,2022-04-11 00:28:41,20.931,-17.0347,62.58,88,35,17.27,scattered clouds
183,Nurobod,UZ,2022-04-11 00:28:41,40.9056,69.8023,69.01,41,95,6.69,overcast clouds
184,Tahta,EG,2022-04-11 00:29:41,26.7693,31.5021,75.88,20,38,6.78,scattered clouds
185,Prado,BR,2022-04-11 00:29:42,-17.3411,-39.2208,78.3,83,40,8.63,scattered clouds
186,Altea,ES,2022-04-11 00:29:42,38.5989,-0.0514,59.2,60,71,3.0,broken clouds
187,Panorama,GR,2022-04-11 00:29:42,40.5878,23.0315,47.91,55,20,33.38,few clouds
188,Moba,CN,2022-04-11 00:29:43,33.2288,105.0179,56.59,69,100,2.75,overcast clouds
189,Palafrugell,ES,2022-04-11 00:29:43,41.9174,3.1631,57.42,55,59,3.0,broken clouds
190,Ilebo,CD,2022-04-11 00:29:43,-4.3167,20.5833,70.83,92,93,1.1,light rain
191,Ramachandrapuram,IN,2022-04-11 00:29:44,16.85,82.0167,76.98,94,91,2.19,overcast clouds
192,Rio Gallegos,AR,2022-04-11 00:25:37,-51.6226,-69.2181,48.25,61,75,10.36,broken clouds
193,Sorland,NO,2022-04-11 00:24:57,67.667,12.6934,39.15,62,49,15.48,scattered clouds
194,Angoche,MZ,2022-04-11 00:29:44,-16.2325,39.9086,75.22,93,6,6.35,clear sky
195,Zhanaozen,KZ,2022-04-11 00:29:45,43.3,52.8,57.25,44,0,7.0,clear sky
196,Wajid,SO,2022-04-11 00:29:45,3.8093,43.2471,75.18,78,29,17.29,scattered clouds
197,Bhag,PK,2022-04-11 00:29:45,29.0415,67.8239,85.96,15,100,4.99,overcast clouds
198,Coihaique,CL,2022-04-11 00:25:35,-45.5752,-72.0662,48.81,97,86,6.24,overcast clouds
199,Dudinka,RU,2022-04-11 00:29:46,69.4058,86.1778,-18.98,100,100,4.88,overcast clouds
200,Carauari,BR,2022-04-11 00:29:46,-4.8828,-66.8958,74.55,96,82,1.03,broken clouds
201,Kousseri,CM,2022-04-11 00:29:46,12.0769,15.0306,90.21,23,91,6.49,overcast clouds
202,Gambissara,SN,2022-04-11 00:29:47,13.2382,-14.3108,86.18,14,4,7.9,clear sky
203,Alexandria,EG,2022-04-11 00:24:59,31.2156,29.9553,60.76,82,0,8.05,clear sky
204,Gornopravdinsk,RU,2022-04-11 00:29:47,60.05,69.9,27.36,94,100,5.59,overcast clouds
205,Chake Chake,TZ,2022-04-11 00:29:47,-5.2459,39.7666,80.42,76,38,9.64,scattered clouds
206,Harper,LR,2022-04-11 00:29:48,4.375,-7.7169,80.29,86,74,6.89,broken clouds
207,Alta Floresta,BR,2022-04-11 00:29:48,-9.8756,-56.0861,73.33,92,85,3.42,overcast clouds
