City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Puerto Cabezas,NI,77.16,scattered clouds,14.0351,-83.3888,Cabaña Caribe
367,Urucara,BR,73.96,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
374,Palakkad,IN,77.07,overcast clouds,10.7833,76.65,Hotel Gazala
376,Meulaboh,ID,77.63,heavy intensity rain,4.1363,96.1285,Kost Pria
378,Venancio Aires,BR,73.72,overcast clouds,-29.6064,-52.1919,Hotel Guest
382,Brokopondo,SR,76.19,overcast clouds,4.75,-55.1667,Matu Island
383,Rocha,UY,66.13,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
389,Planaltina,BR,69.6,light rain,-15.4528,-47.6142,Retiro Maranata
397,Eirunepe,BR,73.44,overcast clouds,-6.6603,-69.8736,Atrás de você
399,Sao Jose Do Rio Pardo,BR,67.37,broken clouds,-21.5956,-46.8886,Terra Rossa
404,Julio De Castilhos,BR,65.07,overcast clouds,-29.2269,-53.6817,Bladmir Rigol da Costa ME
406,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
410,Phalaborwa,ZA,67.28,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
413,Monte Azul Paulista,BR,72.9,clear sky,-20.9072,-48.6414,Tonelli Hotel
418,Springdale,US,73.53,broken clouds,36.1867,-94.1288,Springdale Inn
421,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
423,Soroti,UG,67.26,overcast clouds,1.7146,33.6111,Strikers Hotel
432,Dolores,AR,65.71,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
434,Itaporanga,BR,78.03,broken clouds,-7.3044,-38.1503,Hotel Rainha do Vale
435,Gat,IL,67.41,clear sky,31.61,34.7642,OlusHome
440,Paranaiba,BR,76.93,few clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
441,Maturin,VE,77.81,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
453,Morant Bay,JM,78.42,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
456,Manono,CD,69.64,overcast clouds,-7.3,27.4167,Hotel hewa bora
461,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
462,Sao Jose Da Coroa Grande,BR,78.4,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
465,Delta Del Tigre,UY,71.71,overcast clouds,-34.7633,-56.3853,FINCA SUAREZ
467,Bahia Honda,CU,68.47,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
468,Coro,VE,78.08,overcast clouds,11.4045,-69.6734,Federal
472,Bria,CF,68.94,light rain,6.5423,21.9863,WFP Guesthouse
473,Bubaque,GW,76.24,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
476,Antalaha,MG,73.83,light rain,-14.9003,50.2788,Hotel Vitasoa
477,Abu Dhabi,AE,78.96,clear sky,24.4667,54.3667,Beach Rotana
478,Trincomalee,LK,78.44,scattered clouds,8.5711,81.2335,Welcombe Hotel
479,Luziania,BR,73.09,broken clouds,-16.2525,-47.9503,HOTEL SARON
481,Doha,QA,75.18,dust,25.2867,51.5333,Movenpick Hotel Doha
485,Sainte-Marie,RE,77.16,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
490,Mbengwi,CM,69.31,overcast clouds,6.0167,10.0,Senate Hotel
494,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
496,Marigot,MF,78.58,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
499,Jiwani,PK,79.99,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
500,Loandjili,CG,77.11,few clouds,-4.7561,11.8578,Résidence ARCHANGE
502,Le Moule,GP,77.04,clear sky,16.3332,-61.3473,Lakaz Hananou
503,Namibe,AO,71.31,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
507,Veraval,IN,78.96,few clouds,20.9,70.3667,Lords Inn Somnath
508,Yanam,IN,77.13,overcast clouds,16.7333,82.2167,The Regency Hotel
509,Puerto Rico,AR,67.46,overcast clouds,-26.796,-55.024,Hotel Cabañas del Prado
512,Wankaner,IN,79.41,few clouds,22.6167,70.9333,Royal Oasis
513,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
518,Gewane,ET,79.77,clear sky,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
519,Necocli,CO,78.08,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
520,Una,IN,77.43,few clouds,20.8167,71.0333,Hotel Harbhole
521,Ocala,US,66.0,clear sky,29.1872,-82.1401,Golden Palms Inn & Suites
522,Lamentin,GP,76.86,few clouds,16.271,-61.6312,Chambres d'hôte Belcourt 1
524,Dwarka,IN,79.43,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
527,Reconquista,AR,67.89,overcast clouds,-29.15,-59.65,Grand Hotel
530,Huarmey,PE,68.86,broken clouds,-10.0681,-78.1522,Hotel Miramar
536,Trairi,BR,75.38,broken clouds,-3.2778,-39.2689,janelas do mar
537,San Jose,US,67.28,broken clouds,37.3394,-121.895,The Westin San Jose
538,Kindu,CD,68.83,moderate rain,-2.95,25.95,Résidence Okanda
540,Andros Town,BS,69.76,clear sky,24.7,-77.7667,Hanks place
544,Gidam,IN,75.29,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
550,Lindi,TZ,71.44,few clouds,-10.0,39.7167,Lindi paradise house
553,Jalu,LY,66.38,clear sky,29.0331,21.5482,صاحبة الفخامة
554,Paranhos,BR,71.53,few clouds,-23.8928,-55.4311,Hotel Saron
555,Key Largo,US,71.98,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
556,Oussouye,SN,71.78,clear sky,12.485,-16.5469,Auberge du Routard
558,Jaguaquara,BR,65.14,few clouds,-13.5306,-39.9708,Hotel Irmãos Vaz
559,Garowe,SO,72.45,clear sky,8.4054,48.4845,Curubo Hotel
560,Ambovombe,MG,73.47,broken clouds,-25.1667,46.0833,RELAHARA
562,Placido De Castro,BR,73.87,moderate rain,-10.3353,-67.1856,Hotel Carioca
564,Phaltan,IN,75.9,overcast clouds,17.9833,74.4333,Hotel New Vijay
566,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
569,Lima,PE,66.45,clear sky,-12.0432,-77.0282,Hotel Kamana
572,Khandbari,NP,68.29,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
574,Cordoba,AR,73.24,scattered clouds,-31.4135,-64.1811,Hotel Sussex
575,Hualmay,PE,68.32,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
580,Labrea,BR,73.27,moderate rain,-7.2586,-64.7981,Hotel Novo Horizonte
586,Kpandu,GH,78.31,scattered clouds,6.9954,0.2931,Emo House
587,Tarrafal,CV,70.59,scattered clouds,15.2833,-23.7667,Hotel Ixola
